domain_name,ip_address
"14-tracking.com","191.101.31.25"
"1minto-start.com","185.94.190.203"
"24-7clinic.com","46.183.219.79"
"3driving.com","185.106.120.130"
"456h612i458g.com","81.22.255.180"
"7style.org","109.200.24.106"
"800health.net","185.189.112.199"
"access.dynamic-dns.net","95.183.51.199"
"accountnotify.com","185.130.184.35"
"activate-discount.com","200.7.97.228"
"actorsshop.net","31.184.198.149"
"actu24.online","185.156.175.219"
"addmyid.net","46.22.223.209"
"adeal4u.co","217.112.131.120"
"afriquenouvelle.com","185.94.191.69"
"aircraftsxhibition.com","108.170.31.100"
"ajelnews.net","109.200.24.72"
"akhbara-aalawsat.com","185.243.115.100"
"akhbar-aliqtisad.com","185.94.191.23"
"akhbar-arabia.com","200.7.97.216"
"albumphotopro.biz","185.45.192.134"
"alive2plunge.com","173.254.248.104"
"allafricaninfo.com","5.102.146.87"
"allbeautifularts.com","185.94.191.73"
"alldaycooking.co","217.112.131.103"
"allfadiha.co","217.64.113.254"
"allladiesloveme.com","38.132.118.108"
"all-sales.info","88.119.179.165"
"allthecolorsyoulike.com","185.225.68.6"
"allthegamesyouneed.com","185.195.200.43"
"allthemakeupyouneed.com","185.195.200.51"
"allthesongsyoulike.com","46.183.216.141"
"alluneed4home.net","109.200.24.48"
"android-core.org","109.200.24.112"
"android-updates.net","185.225.68.229"
"apiapple.com","185.141.26.50"
"apiwacdn.com","206.189.108.245"
"appointments-online.com","88.150.227.120"
"arabnews365.com","88.119.179.166"
"arab-share.com","46.21.147.141"
"arabworld.biz","46.21.147.224"
"arabworldnews.info","185.230.124.235"
"around-theglobe.co","185.82.202.32"
"ar-tweets.com","109.200.24.76"
"atlaslions.info","82.211.31.177"
"autodiscount.info","88.150.227.105"
"banca-movil.com","149.255.36.138"
"bargainservice.online","83.221.132.157"
"beautifulhousesaroundme.com","185.225.68.2"
"beethoventopsymphonies.com","80.255.12.246"
"benjamin-taganga.info","217.112.131.176"
"bestadventures4u.com","93.158.203.142"
"bestcandyever.com","5.149.250.2"
"bestfoods.co","200.7.98.133"
"bestfriendneedshelp.com","88.150.138.66"
"bestheadphones4u.com","93.158.203.140"
"besthotelsaroundme.com","5.149.252.157"
"bestperfumesnow.com","89.249.65.165"
"bestpresents4all.net","94.177.236.235"
"bestsalesaroundme.com","89.33.246.112"
"beststores4u.com","185.94.189.198"
"bestsushiever.com","88.150.138.106"
"better-deal.info","217.112.131.147"
"bicyclerentalnow.com","5.149.254.5"
"biggunsarefun.com","200.7.105.3"
"blackwhitebags.com","185.206.224.41"
"blcheck.utensils.pro","164.132.138.55"
"blue.911hig11carcay959454.com","54.37.104.101"
"booking-tables.com","109.200.24.59"
"boysrbabies.co","38.132.118.111"
"breakfastisgood.com","5.102.147.114"
"breaking-extranews.online","185.141.27.124"
"breakingnewsasia.com","200.7.111.156"
"breaking-news.co","88.150.189.108"
"breakthenews.net","81.95.5.165"
"br-hashtags.com","191.101.31.21"
"brighttooth.net","185.189.112.200"
"brownandblueeyes.com","185.29.11.165"
"browser-update.online","191.101.31.114"
"br-travels.com","81.95.7.58"
"buildurlife.net","5.149.255.198"
"bunchi.club","5.149.249.174"
"businesssupportme.com","5.149.255.69"
"bussybeesallover.com","195.12.48.42"
"buymanuel.co","185.117.75.84"
"buypresent4me.net","94.177.239.30"
"calendarsapp.com","185.117.72.120"
"captcha.bl33pon6373.com","88.99.107.18"
"carrefour-des-affaires.com","5.102.146.126"
"cars-to-buy.com","217.112.131.146"
"cashandlife.com","185.82.200.233"
"casia-news.info","185.198.58.158"
"catfoodstorage.net","217.61.5.131"
"catsndogsproducts.com","88.119.179.226"
"cdnupdateweb.com","190.97.165.115"
"cdnwa.com","185.141.25.30"
"cell-abonnes.com","5.102.147.82"
"cellphonesprices.com","93.158.200.205"
"cellular-updates.com","176.223.111.159"
"cellularupdates.info","185.77.129.136"
"cellular-updates.online","154.16.37.40"
"centrasia-news.com","185.225.68.125"
"cheapapartmentsaroundme.com","88.119.179.140"
"cheaphostingtoday.com","5.102.146.49"
"cheapmotelz.net","185.106.120.173"
"cheapsolutions4u.com","141.255.161.88"
"cheaptransporting.net","185.156.173.118"
"check-my-internetspeed.com","200.7.97.229"
"chocolateicecreamlovers.com","88.150.138.74"
"chocollife.me","185.94.191.123"
"chubaka.org","185.225.68.124"
"classic-furnitures.com","185.183.107.43"
"clickrighthere.online","138.59.17.76"
"coffecups.online","31.3.232.125"
"coffee2go.org","86.105.18.222"
"colorfulnotebooks.com","185.195.200.38"
"colorsoflife.online","62.113.232.221"
"columbus-parking.com","154.16.37.39"
"coolasiankitchen.com","5.102.146.91"
"coolbbqtools.net","217.112.131.108"
"coolmath4us.net","217.112.131.227"
"cool-smartphone-apps.com","217.112.131.58"
"coupedumondepro.com","188.215.229.213"
"couponshops.info","37.220.31.114"
"cpr-appointments.com","88.150.227.121"
"cryptocurrecny.com","185.225.68.77"
"cryptokoinz.com","5.149.254.24"
"cryptopcoinz.com","217.61.7.152"
"csomagodjott.com","200.7.97.238"
"daily-sport.news","200.7.97.214"
"dancinglife.co","89.249.65.206"
"deal4unow.com","185.134.29.146"
"delivery-24-7.com","81.92.202.222"
"dental-care-spa.net","185.225.68.202"
"deportesinfo.com","149.255.35.115"
"diaspora-news.com","81.95.5.144"
"dinneraroundyou.com","217.112.131.208"
"discountmarkets.info","88.150.138.69"
"discountstores.info","109.200.24.73"
"discoveredworld-news.com","185.236.202.184"
"dogfoodstorage.net","217.61.104.60"
"dogopics.com","5.102.145.183"
"doitformom.com","89.34.111.212"
"doitforthefame-now.com","88.150.138.82"
"do-itonyour-own.com","5.102.145.64"
"domain-redirect.com","109.200.24.122"
"domainsearching.net","185.117.89.251"
"domainsearching.net","80.211.250.229"
"domain-security.org","109.200.24.2"
"donateabox.co","5.102.146.82"
"donateaflower.com","104.216.8.34"
"done.events","130.185.250.200"
"dowhatyouneed.com","5.102.145.130"
"easybett.online","46.183.221.185"
"easy-pay.info","89.249.65.193"
"ecommerce-ads.org","46.183.223.249"
"economic-news.co","185.230.124.234"
"editorscolumn.net","89.238.138.141"
"egov-online.com","88.150.227.122"
"egov-segek.info","185.195.200.47"
"egov-sergek.info","185.195.200.47"
"ehistorybooks.com","185.109.168.29"
"ehistorybooks.com","78.142.25.30"
"elitecarz.net","5.102.147.163"
"eltiempo-news.com","38.84.132.165"
"emonitoring-paczki.pl","86.105.18.121"
"entertainmentinat.com","5.149.254.12"
"e-prokuror.info","5.102.145.72"
"e-sveiciens.com","5.149.254.14"
"eura-cell.com","88.150.227.98"
"eurasianupdate.com","88.150.227.110"
"eurosportnews.info","217.64.114.179"
"event-reg.info","185.77.131.10"
"ex-forexlive.com","5.102.147.73"
"extrahoney.net","77.245.76.109"
"ezdropshipping.net","23.107.197.107"
"fabric-shops.com","185.225.68.176"
"face-image.com","185.225.68.128"
"fadi7apress.com","5.102.145.26"
"fantastic-gardens.com","185.94.189.208"
"fashion-live.net","37.220.31.78"
"fashion-online.net","217.112.131.136"
"fashionpark.info","185.94.191.124"
"fastfixs.net","37.220.31.80"
"femmedaffaire.com","5.102.146.93"
"fiestamaghreb.com","188.215.229.216"
"files-downloads.com","217.61.96.219"
"findavoucher.online","185.198.58.196"
"findgoodfood.co","185.94.189.207"
"finditout-now.com","5.102.147.51"
"findmyass.org","8.39.147.100"
"findmyfriendsnow.com","179.43.169.41"
"findmylunch.org","38.132.118.116"
"findmymind.co","185.230.124.241"
"findmyplants.com","46.21.147.65"
"findouthere.org","83.221.132.104"
"fishingtrickz.com","185.244.150.68"
"fitness-for-ever.com","185.77.131.109"
"flights-report.com","217.112.131.42"
"flights-todays.com","88.150.227.103"
"flying-free.online","154.16.37.35"
"fofopiko.org","217.112.131.158"
"foodforyou.info","88.150.138.78"
"foodiez.online","46.183.221.187"
"foto-top.info","185.225.68.133"
"foudefoot.live","185.45.193.210"
"freedominfo.net","46.21.147.123"
"freelancers-team.org","5.102.147.106"
"free-local-events.info","185.225.68.207"
"freshandsoftbread.com","188.215.229.222"
"freshsaladtoday.com","200.7.97.254"
"fundum8430.com","163.172.140.159"
"funinat.com","46.21.147.46"
