Group ID,Group name,TLV value,Known TLV,TLV name,Function
64,drives all get,131488,✔,TlvTypeGetAllDrivesRequest,
64,drives all get,131744,✔,TlvTypeGetAllDrivesReply,
66,contents folder get,135328,✔,TlvTypeGetFolderContentsRequest,
66,contents folder get,135584,✔,TlvTypeGetFolderContentsReply,
66,contents folder get,135840,✔,TlvTypeGetFolderContentsNext,
66,contents folder get,136096,✔,TlvTypeGetFolderContentsEnd,
68,download file,139424,✔,TlvTypeDownloadFileRequest,
68,download file,139680,✔,TlvTypeCancelDownloadFileRequest,
68,download file,139936,✔,TlvTypeDownloadFileReply,
68,download file,140192,✔,TlvTypeDownloadFileNext,
68,download file,140448,✔,TlvTypeDownloadFileEnd,
68,download file,140704,✔,TlvTypeCancelDownloadFileReply,
70,upload file,143520,✔,TlvTypeUploadFileRequest,
70,upload file,143776,✔,TlvTypeCancelUploadFileRequest,
70,upload file,144032,✔,TlvTypeUploadFileReply,
70,upload file,144288,✔,TlvTypeUploadFileNext,
70,upload file,144544,✔,TlvTypeUploadFileEnd,
70,upload file,144800,✔,TlvTypeUploadFileCompleted,
70,upload file,145056,✔,TlvTypeCancelUploadFileReply,
72,delete file,147616,✔,TlvTypeDeleteFileRequest,
72,delete file,147872,✔,TlvTypeDeleteFileReply,
74,search file,151968,✔,TlvTypeSearchFileRequest,
74,search file,152224,✔,TlvTypeSearchFileReply,
74,search file,152480,✔,TlvTypeSearchFileNext,
74,search file,152736,✔,TlvTypeSearchFileEnd,
74,search file,152992,✔,TlvTypeCancelSearchFileRequest,
74,search file,153248,✔,TlvTypeCancelSearchFileReply,
78,fs,159888,✔,TlvTypeFSFileDataChunk,"Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/d, L/org/xmlpush/v3/o/h, L/org/xmlpush/v3/h/c"
78,fs,160128,✔,TlvTypeFSDiskDrive,Lorg/xmlpush/v3/o/e
78,fs,160384,✔,TlvTypeFSFullPath,"Lorg/xmlpush/v3/n/m, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/d, Lorg/xmlpush/v3/o/d, Lorg/xmlpush/v3/o/d, Lorg/xmlpush/v3/o/d, Lorg/xmlpush/v3/f/b, L/org/xmlpush/v3/o/h, L/org/xmlpush/v3/h/c"
